aeronave_tipo_veiculo;aeronave_pais_fabricante;aeronave_fabricante;aeronave_modelo;aeronave_ano_fabricacao;aeronave_assentos;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;ocorrencia;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_icao;aeronave_pmd;aeronave_pmd_categoria;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_tipo_operacao
AVIÃO;BRASIL;CESSNA AIRCRAFT;T210N;NULL;NULL;PISTÃO;MONOMOTOR;SUBIDA;NENHUM;0;80574;PPYGO;***;C210;1814;1814;BRASIL;AVIÃO;PARTICULAR;LEITE LOPES;GURUPI;PRIVADA
AVIÃO;BRASIL;BEECH AIRCRAFT;58;1999;6;PISTÃO;BIMOTOR;CRUZEIRO;LEVE;0;80576;PRKAC;***;BE58;2495;2495;BRASIL;AVIÃO;PARTICULAR;Comandante Rolim Adolfo Amaro;TRES LAGOAS;PRIVADA
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A320-251N;2019;NULL;JATO;***;DESCIDA;NENHUM;0;80578;PRYSB;***;A20N;77000;77000;BRASIL;AVIÃO;REGULAR;GUARARAPES - GILBERTO FREYRE;CONGONHAS;REGULAR
***;BRASIL;***;***;0;0;***;SEM TRAÇÃO;SUBIDA;NENHUM;0;80579;PRTYI;***;***;0;0;BRASIL;***;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;AEROPUERTO INTERNACIONAL EL DORADO;REGULAR
AVIÃO;BRASIL;CESSNA AIRCRAFT;150M;1975;2;PISTÃO;MONOMOTOR;POUSO;LEVE;0;80580;PRDTK;***;C150;726;726;BRASIL;AVIÃO;INSTRUÇÃO;JACAREPAGUÁ;JACAREPAGUÁ;INSTRUÇÃO
AVIÃO;BRASIL;NEIVA INDUSTRIA AERONAUTICA;EMB-202;2002;1;PISTÃO;MONOMOTOR;DECOLAGEM;SUBSTANCIAL;0;80581;PTUNT;***;IPAN;1800;1800;BRASIL;AVIÃO;AGRÍCOLA;TENENTE XAVIER;TENENTE XAVIER;AGRÍCOLA
HELICÓPTERO;BRASIL;AGUSTA;AW139;2009;14;TURBOEIXO;BIMOTOR;DECOLAGEM;NENHUM;0;80582;PRSES;***;A139;6800;6800;BRASIL;HELICÓPTERO;TÁXI AÉREO;MINISTRO VICTOR KONDER;FORA DE AERODROMO;TÁXI AÉREO
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A320-251N;2016;NULL;JATO;TRIMOTOR;TÁXI;NENHUM;0;80583;PRYRD;***;A320;79000;79000;BRASIL;AVIÃO;REGULAR;SALGADO FILHO;GOVERNADOR ANDRÉ FRANCO MONTORO;REGULAR
AVIÃO;BRASIL;AIRBUS INDUSTRIE;A321-231;2011;232;JATO;BIMOTOR;DECOLAGEM;NENHUM;0;80583;PTMXH;***;A321;89000;89000;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;TANCREDO NEVES;REGULAR
AVIÃO;BRASIL;BEECH AIRCRAFT;C90A;1991;8;TURBOÉLICE;BIMOTOR;CORRIDA APÓS POUSO;LEVE;0;80584;PROSO;***;BE9L;4581;4581;BRASIL;AVIÃO;ADMINISTRAÇÃO DIRETA;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;MÁRIO RIBEIRO;POLICIAL
AVIÃO;BRASIL;AIRBUS S.A.S.;A320-251N;2017;NULL;JATO;BIMOTOR;DECOLAGEM;NENHUM;0;80585;PRYYI;***;A20N;79000;79000;BRASIL;AVIÃO;REGULAR;VIRACOPOS;PINTO MARTINS;REGULAR
AVIÃO;BRASIL;PIPER AIRCRAFT;PA-34-220T;1981;6;PISTÃO;BIMOTOR;TÁXI;LEVE;0;80586;PRNCO;***;PA34;2155;2155;BRASIL;AVIÃO;PARTICULAR;COSTA ESMERALDA;***;PRIVADA
AVIÃO;BRASIL;BOEING COMPANY;737-45D;1997;0;JATO;BIMOTOR;CRUZEIRO;NENHUM;0;80587;PSTLA;***;B734;65090;65090;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;EDUARDO GOMES;REGULAR
AVIÃO;BRASIL;TWIN COMMANDER;500-S;1975;11;PISTÃO;BIMOTOR;DECOLAGEM;LEVE;0;80588;PPJBE;***;AC50;3062;3062;BRASIL;AVIÃO;PARTICULAR;COSTA ESMERALDA;SEMENTES BEÉ;PRIVADA
HELICÓPTERO;BRASIL;SIKORSKY AIRCRAFT;S-76C;2008;14;TURBOEIXO;BIMOTOR;RETA FINAL;SUBSTANCIAL;1;80589;PRLCT;***;S76;5307;5307;BRASIL;HELICÓPTERO;TÁXI AÉREO;DEPUTADO LUÍS EDUARDO MAGALHÃES;***;TÁXI AÉREO
